as_id,display_name,original,noise
0,Speech,Speech,speech
1,"Male speech, man speaking","Male speech, man speaking",speech
2,"Female speech, woman speaking","Female speech, woman speaking",speech
3,"Child speech, kid speaking","Child speech, kid speaking",speech
4,Conversation,,speech
5,"Narration, monologue","Narration, monologue",speech
6,Babbling,,speech
7,Speech synthesizer,,speech
8,Shout,Shout,speech
9,Bellow,,speech
10,Whoop,,speech
11,Yell,Yell,speech
12,Battle cry,,speech
13,Children shouting,Children shouting,speech
14,Screaming,,speech
15,Whispering,,speech
16,Laughter,Laughter,speech
17,Baby laughter,,speech
18,Giggle,Giggle,speech
19,Snicker,,speech
20,Belly laugh,,speech
21,"Chuckle, chortle",,speech
22,"Crying, sobbing",,speech
23,"Baby cry, infant cry",,speech
24,Whimper,,speech
25,"Wail, moan",,speech
26,Sigh,,speech
27,Singing,,music
28,Choir,,music
29,Yodeling,,music
30,Chant,,music
31,Mantra,,music
32,Male singing,,music
33,Female singing,Female singing,music
34,Child singing,,music
35,Synthetic singing,,music
36,Rapping,,music
37,Humming,,music
38,Groan,,speech
39,Grunt,,speech
40,Whistling,,music
41,Breathing,,speech
42,Wheeze,,speech
43,Snoring,,speech
44,Gasp,,speech
45,Pant,,speech
46,Snort,,speech
47,Cough,Cough,speech
48,Throat clearing,Throat clearing,speech
49,Sneeze,,speech
50,Sniff,,speech
51,Run,,
52,Shuffle,,
53,"Walk, footsteps","Walk, footsteps",
54,"Chewing, mastication",,
55,Biting,,
56,Gargling,,
57,Stomach rumble,,
58,"Burping, eructation",,
59,Hiccup,,
60,Fart,,
61,Hands,,
62,Finger snapping,,
63,Clapping,,
64,"Heart sounds, heartbeat",,
65,Heart murmur,,
66,Cheering,,speech
67,Applause,,
68,Chatter,Chatter,speech
69,Crowd,,
70,"Hubbub, speech noise, speech babble","Hubbub, speech noise, speech babble",speech
71,Children playing,,
72,Animal,,biophony
73,"Domestic animals, pets",,biophony
74,Dog,,biophony
75,Bark,,biophony
76,Yip,,biophony
77,Howl,,biophony
78,Bow-wow,,biophony
79,Growling,,biophony
80,Whimper (dog),,biophony
81,Cat,,biophony
82,Purr,,biophony
83,Meow,,biophony
84,Hiss,,biophony
85,Caterwaul,,biophony
86,"Livestock, farm animals, working animals",,biophony
87,Horse,,biophony
88,Clip-clop,,biophony
89,"Neigh, whinny",,biophony
90,"Cattle, bovinae",,biophony
91,Moo,,biophony
92,Cowbell,,biophony
93,Pig,,biophony
94,Oink,,biophony
95,Goat,,biophony
96,Bleat,,biophony
97,Sheep,,biophony
98,Fowl,,biophony
99,"Chicken, rooster",,biophony
100,Cluck,,biophony
101,"Crowing, cock-a-doodle-doo",,biophony
102,Turkey,,biophony
103,Gobble,,biophony
104,Duck,,biophony
105,Quack,,biophony
106,Goose,,biophony
107,Honk,,biophony
108,Wild animals,,biophony
109,"Roaring cats (lions, tigers)",,biophony
110,Roar,,biophony
111,Bird,,biophony
112,"Bird vocalization, bird call, bird song","Bird vocalization, bird call, bird song",biophony
113,"Chirp, tweet","Chirp, tweet",biophony
114,Squawk,,biophony
115,"Pigeon, dove",,biophony
116,Coo,,biophony
117,Crow,,biophony
118,Caw,,biophony
119,Owl,,biophony
120,Hoot,,biophony
121,"Bird flight, flapping wings",,biophony
122,"Canidae, dogs, wolves",,biophony
123,"Rodents, rats, mice",,biophony
124,Mouse,,biophony
125,Patter,,biophony
126,Insect,,biophony
127,Cricket,,biophony
